Then you don't remember. This is not the exact spot.	你怎么不记得了呢？绝不是在这儿。
Another voice must have answered him, for he replied to it.	大概还有另一个声音在回答他，因为他答着腔说道。
Yes, yes! It is the right day, but this is not the place.	没错，没错，日子是对的，但地点不是这里。
I was only twenty metres from the wall, and I still saw nothing.	我离墙约有二十米远，可我依然什么也没有看见。
You have good poison? You are sure that it will not make me suffer too long?	你的毒液管用吗？你保证不会使我长时间地痛苦吗？
I stopped in my tracks, my heart torn asunder, but still I did not understand.	我停下脚步，心都碎了，可我仍然不明白。
Now go away, said the little prince. I want to get down.	现在你去吧，我要下来了，小王子说。
I reached the wall just in time to catch my little man in my arms.	我及时赶到墙边，把我的小王子接在怀里。
I was just coming to tell him that my work had been successful.	我正是来告诉他，我已经成功地完成了工作。
I have your sheep. And I have the sheep's box.	我有你画的羊，也有羊的箱子。
I waited a long time. I could see that he was reviving little by little.	我等了很长时间，才觉得他渐渐恢复过来。
Tonight, it will be a year since I came to the Earth.	到今天夜里，正好是我来到地球一周年。
